Inner window analysis
(All points with usual pitch change in a window as timestamp and pitch)
Time stamp: 6, Pitch value: 112.55410232080935
Time stamp: 7, Pitch value: 112.55410232080935
Time stamp: 8, Pitch value: 205.16388268591965
Time stamp: 9, Pitch value: 202.41908151794894
Time stamp: 25, Pitch value: 198.09245760594814
Time stamp: 26, Pitch value: 198.09245760594814
Time stamp: 27, Pitch value: 198.09245760594814
Time stamp: 50, Pitch value: 198.09245760594814
Time stamp: 98, Pitch value: 198.09245760594814
Time stamp: 99, Pitch value: 198.09245760594814
Time stamp: 100, Pitch value: 198.09245760594814
Time stamp: 123, Pitch value: 198.09245760594814
Time stamp: 124, Pitch value: 198.09245760594814
Time stamp: 125, Pitch value: 198.09245760594814
Time stamp: 130, Pitch value: 198.09245760594814
Time stamp: 131, Pitch value: 198.09245760594814
Time stamp: 132, Pitch value: 361.0365504525796
Time stamp: 133, Pitch value: 359.1391488106677
Time stamp: 186, Pitch value: 359.1391488106677
Time stamp: 187, Pitch value: 359.1391488106677
Time stamp: 188, Pitch value: 117.81186792752902
Time stamp: 189, Pitch value: 120.09817381383364
Time stamp: 200, Pitch value: 120.09817381383364
Time stamp: 201, Pitch value: 120.09817381383364
Time stamp: 202, Pitch value: 120.09817381383364
Time stamp: 273, Pitch value: 120.09817381383364
Time stamp: 274, Pitch value: 120.09817381383364
Time stamp: 275, Pitch value: 120.09817381383364
Time stamp: 280, Pitch value: 120.09817381383364
Time stamp: 281, Pitch value: 163.14386411794518
Time stamp: 282, Pitch value: 160.95813788219388
Time stamp: 279, Pitch value: 120.09817381383364
Time stamp: 300, Pitch value: 154.52111069103714
Time stamp: 301, Pitch value: 154.52111069103714
Time stamp: 302, Pitch value: 154.52111069103714
Time stamp: 325, Pitch value: 154.52111069103714
Time stamp: 326, Pitch value: 154.52111069103714
Time stamp: 327, Pitch value: 154.52111069103714
Time stamp: 398, Pitch value: 154.52111069103714
Time stamp: 399, Pitch value: 154.52111069103714
Time stamp: 400, Pitch value: 154.52111069103714
Time stamp: 421, Pitch value: 154.52111069103714
Time stamp: 422, Pitch value: 154.52111069103714
Time stamp: 423, Pitch value: 283.865096749601
Time stamp: 424, Pitch value: 276.3297819603523
Time stamp: 425, Pitch value: 269.5354518601457
Time stamp: 426, Pitch value: 279.67513064440743
Time stamp: 427, Pitch value: 276.1253065380199
Time stamp: 428, Pitch value: 288.7298493761332
Time stamp: 441, Pitch value: 286.22639343488385
Time stamp: 442, Pitch value: 279.9453259701156
Time stamp: 497, Pitch value: 275.14588841318306
Time stamp: 498, Pitch value: 435.03408818246504
Time stamp: 512, Pitch value: 418.17406231997336
Time stamp: 513, Pitch value: 134.05485749398758
Time stamp: 511, Pitch value: 418.17406231997336
Time stamp: 514, Pitch value: 144.16554867007238
Time stamp: 525, Pitch value: 153.5678260199926
Time stamp: 526, Pitch value: 153.5678260199926
Time stamp: 530, Pitch value: 153.5678260199926
Time stamp: 531, Pitch value: 153.1336292787592
Time stamp: 532, Pitch value: 153.17815866102495
Time stamp: 550, Pitch value: 153.17815866102495
Time stamp: 551, Pitch value: 153.17815866102495
Time stamp: 552, Pitch value: 153.17815866102495
